article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
47715462,London-Sydney 24 Hours?,47,"Army News (Darwin, NT : 1941 - 1946)",1,1945-04-19,Article,94,N,1,http://nla.gov.au/nla.news-article47715462,http://trove.nla.gov.au/newspaper/page/3354301
82583419,"LONDON-SYDNEY, 36 HOURS",281,Singleton Argus (NSW : 1880 - 1954),1,1949-11-21,Article,169,N,0,http://nla.gov.au/nla.news-article82583419,http://trove.nla.gov.au/newspaper/page/7871207
26668463,London-Sydney In 36 Hours,10,"The Mercury (Hobart, Tas. : 1860 - 1954)",2,1949-11-17,Article,80,N,0,http://nla.gov.au/nla.news-article26668463,http://trove.nla.gov.au/newspaper/page/1899958
48985619,Sydney-London In 40 Hours,30,"The West Australian (Perth, WA : 1879 - 1954)",4,1951-08-15,Article,55,N,0,http://nla.gov.au/nla.news-article48985619,http://trove.nla.gov.au/newspaper/page/3788188
56923724,London-Sydney In 36 Hours,77,"Morning Bulletin (Rockhampton, Qld. : 1878 - 1954)",1,1949-11-17,Article,92,N,0,http://nla.gov.au/nla.news-article56923724,http://trove.nla.gov.au/newspaper/page/5486830
62870866,LONDON—SYDNEY IN 24 HOURS,97,Townsville Daily Bulletin (Qld. : 1907 - 1954),3,1946-02-13,Article,291,N,0,http://nla.gov.au/nla.news-article62870866,http://trove.nla.gov.au/newspaper/page/5596722
18140320,"""HERALD"" SATURDAY MAGAZINE London-Sydney, 36 Hours",35,The Sydney Morning Herald (NSW : 1842 - 1954),6,1949-12-17,Article,881,Y,0,http://nla.gov.au/nla.news-article18140320,http://trove.nla.gov.au/newspaper/page/1032134
49981898,LONDON-SYDNEY IN 24 HOURS,25,"Northern Standard (Darwin, NT : 1921 - 1955)",8,1947-08-08,Article,229,N,0,http://nla.gov.au/nla.news-article49981898,http://trove.nla.gov.au/newspaper/page/3225905
76223490,London-Sydney In 36 Hours,187,"The Central Queensland Herald (Rockhampton, Qld. : 1930 - 1956)",15,1949-11-17,Article,95,N,0,http://nla.gov.au/nla.news-article76223490,http://trove.nla.gov.au/newspaper/page/7490374
78521523,London-Sydney In 72 Hours,275,"The Daily News (Perth, WA : 1882 - 1950)",8 S,1944-09-18,Article,189,N,0,http://nla.gov.au/nla.news-article78521523,http://trove.nla.gov.au/newspaper/page/8033480
91770558,LONDON - SYDNEY IN 36 HOURS,46,"Advocate (Burnie, Tas. : 1890 - 1954)",2 S,1949-11-17,Article,78,N,0,http://nla.gov.au/nla.news-article91770558,http://trove.nla.gov.au/newspaper/page/7459882
98267005,LONDON-SYDNEY IN FIFTY HOURS,375,"Sunday Mail (Brisbane, Qld. : 1926 - 1954)",5,1942-02-08,Article,84,N,0,http://nla.gov.au/nla.news-article98267005,http://trove.nla.gov.au/newspaper/page/10221998
99066809,London—Sydney Flight Will Take 36 Hours,81,"Northern Star (Lismore, NSW : 1876 - 1954)",5,1949-11-17,Article,167,N,0,http://nla.gov.au/nla.news-article99066809,http://trove.nla.gov.au/newspaper/page/10797744
99117947,SYDNEY-LONDON IN 63 HOURS,81,"Northern Star (Lismore, NSW : 1876 - 1954)",1,1946-06-01,Article,44,N,0,http://nla.gov.au/nla.news-article99117947,http://trove.nla.gov.au/newspaper/page/10743156
124638106,LONDON-SYDNEY FLIGHT IN 36 HOURS?,378,"Queensland Times (Ipswich, Qld. : 1909 - 1954)",1 S,1949-11-17,Article,93,N,0,http://nla.gov.au/nla.news-article124638106,http://trove.nla.gov.au/newspaper/page/9922092
134343980,London-Sydney In 43½ Hours,356,Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954),6,1949-04-14,Article,53,N,0,http://nla.gov.au/nla.news-article134343980,http://trove.nla.gov.au/newspaper/page/10085345
159018325,LONDON-SYDNEY 40 HOURS BY JET,651,The Newcastle Sun (NSW : 1918 - 1954),1,1951-08-14,Article,53,N,0,http://nla.gov.au/nla.news-article159018325,http://trove.nla.gov.au/newspaper/page/16693268
185839848,"London, Sydney In 53 Hours",904,The Inverell Times (NSW : 1899 - 1954),1,1953-06-05,Article,60,N,0,http://nla.gov.au/nla.news-article185839848,http://trove.nla.gov.au/newspaper/page/21165808
194644888,Sydney-London In 40 Hours,1005,"Daily Examiner (Grafton, NSW : 1915 - 1954)",1,1951-08-15,Article,40,N,0,http://nla.gov.au/nla.news-article194644888,http://trove.nla.gov.au/newspaper/page/21772992
212283857,SYDNEY-LONDON IN 65 HOURS,1061,"The Evening Advocate (Innisfail, Qld. : 1941 - 1954)",1,1945-10-25,Article,196,N,0,http://nla.gov.au/nla.news-article212283857,http://trove.nla.gov.au/newspaper/page/23175903
214187154,LONDON--SYDNEY IN 70 HOURS,1061,"The Evening Advocate (Innisfail, Qld. : 1941 - 1954)",2,1945-06-01,Article,62,N,0,http://nla.gov.au/nla.news-article214187154,http://trove.nla.gov.au/newspaper/page/23178986
225534234,LONDON-SYDNEY IN 40 HOURS?,81,"Northern Star (Lismore, NSW : 1876 - 1954)",1,1947-12-24,Article,58,N,0,http://nla.gov.au/nla.news-article225534234,http://trove.nla.gov.au/newspaper/page/22019027
230462910,"Sydney To London, 76 Hours Service",1180,"The Sun (Sydney, NSW : 1910 - 1954)",7 S,1945-06-01,Article,209,N,0,http://nla.gov.au/nla.news-article230462910,http://trove.nla.gov.au/newspaper/page/24563059
234923880,LONDON-SYDNEY IN 50 HOURS,1221,The Kyogle Examiner (NSW : 1912; 1914 - 1915; 1917 - 1954),4,1942-02-10,Article,80,N,0,http://nla.gov.au/nla.news-article234923880,http://trove.nla.gov.au/newspaper/page/25361147
248504314,Sydney-London In 29 Hours Forecast,1347,"The Daily Telegraph (Sydney, NSW : 1931 - 1954)",4,1946-05-03,Article,120,N,0,http://nla.gov.au/nla.news-article248504314,http://trove.nla.gov.au/newspaper/page/27446767
