article_id,title,transport,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url,days
102348667,LONDON TO SYDNEY IN THREE DAYS,,463,The Burrowa News (NSW : 1874 - 1951),9,1933-11-03,Article,349,N,0,https://nla.gov.au/nla.news-article102348667,http://trove.nla.gov.au/newspaper/page/10955955,3
10283216,"SYDNEY TO LONDON, IN 26 DAYS.",,10,"The Mercury (Hobart, Tas. : 1860 - 1954)",4,1913-04-30,Article,251,N,0,https://nla.gov.au/nla.news-article10283216,http://trove.nla.gov.au/newspaper/page/882994,26
103386889,AIR MAILS Sydney and London WITHIN SEVEN DAYS,,368,Goulburn Evening Penny Post (NSW : 1881 - 1940),3 S,1935-04-30,Article,87,N,0,https://nla.gov.au/nla.news-article103386889,http://trove.nla.gov.au/newspaper/page/9758293,7
105039680,"Air Post Services. LONDON TO SYDNEY IN FIVE DAYS New Practicable. LONDON, Wednesday.",,432,"Daily Observer (Tamworth, NSW : 1917 - 1920)",2,1918-06-14,Article,116,N,0,https://nla.gov.au/nla.news-article105039680,http://trove.nla.gov.au/newspaper/page/10782263,5
106624091,"INTER-EMPIRE SHIPS SCHEMES FOR FAST SERVICES  LIVERPOOL TO SYDNEY IN 20 DAYS.  (""Herald"" Special Representative.) LONDON September 14.",,395,"Daily Herald (Adelaide, SA : 1910 - 1924)",5,1921-09-19,Article,212,N,0,https://nla.gov.au/nla.news-article106624091,http://trove.nla.gov.au/newspaper/page/10588009,20
107135940,"Telegrams, This Day. ONE DAY LATER. IMPORTANT ROM ENGLAND (Reuter's Telegram Company, London, to Greville's Telegram Company, Sydney.) London, November 29, noon.",n,508,"Evening News (Sydney, NSW : 1869 - 1931)",2,1870-12-23,Article,95,N,0,https://nla.gov.au/nla.news-article107135940,http://trove.nla.gov.au/newspaper/page/11598839,1
107147514,"TELEGRAMS THIS DAY. CABLE MESSAGES. CAPTURE OF COOMASSIE. FIVE DAYS HARD FIGHTING. PEACE NEGOTIATIONS. THE NEW LORD LIEUTENANT OF IRELAND. London, 28th February, 10.46 a.m. Received in Sydney, 27th February, 8.9 p.m.",n,508,"Evening News (Sydney, NSW : 1869 - 1931)",2,1874-02-28,Article,276,N,0,https://nla.gov.au/nla.news-article107147514,http://trove.nla.gov.au/newspaper/page/11602891,5
107649293,LONDON TO SYDNEY. IN 5½ DAYS. NEW AERIAL SERVICE.,,469,The Muswellbrook Chronicle (NSW : 1898 - 1955),5,1924-05-09,Article,325,N,0,https://nla.gov.au/nla.news-article107649293,http://trove.nla.gov.au/newspaper/page/11562775,5.5
107650921,LONDON TO SYDNEY IN TEN DAYS. AUCKLAND.,,469,The Muswellbrook Chronicle (NSW : 1898 - 1955),4,1924-08-22,Article,311,N,0,https://nla.gov.au/nla.news-article107650921,http://trove.nla.gov.au/newspaper/page/11563006,10
108454977,LONDON TO SYDNEY IN FIVE DAYS WHAT MAY BE ACCOMPLISHED BY AEROPLANE A COMMERCIAL PROPOSITION,,409,Gilgandra Weekly (NSW : 1915 - 1929),7,1917-08-31,Article,852,N,0,https://nla.gov.au/nla.news-article108454977,http://trove.nla.gov.au/newspaper/page/10766659,5
